classifier	best_celltype_new	name	gname	Known Marker	HSC_NO	MPP_NO	LMPP_NO	CLP_NO	pDC_NO	CMP_NO	GMP_NO	MEP_NO	HSC_VIP	MPP_VIP	LMPP_VIP	CLP_VIP	CMP_VIP	GMP_VIP	MEP_VIP	pDC_VIP
UCB25	HSC	ENSG00000107719	PALD1	0	5.435557426	5.581470124	5.551163126	5.700506156	5.483987753	5.560059407	5.52432372	5.854936999	1.408151218	0.829801846	0.712850209	1.14856977	0.668340757	0.617347424	1.931122851	0.917779722
UCB26	HSC	ENSG00000198246	SLC29A3	0	4.412643283	4.802357216	4.619275483	5.124040032	4.660454969	4.9017573	4.877941113	4.95192998	2.110637982	0.62021065	0.960411313	1.733879535	0.816954078	0.609535433	0.90478781	0.822803178
UCB27	HSC	ENSG00000099194	SCD	0	2.873991141	3.719248723	3.662768509	3.458988723	3.987651729	3.715576128	3.379548423	3.358025625	1.894869205	0.792491503	0.682316192	0.50143332	0.773408137	0.602371886	0.609817593	1.345898748
UCB28	HSC	ENSG00000148841	ITPRIP	0	3.592477869	4.06286171	3.938959159	3.819003179	4.280544863	4.128478325	4.051468206	4.334833272	1.704419038	0.375834837	0.45110928	0.960471048	0.583084381	0.50076595	1.340051393	0.965533864
UCB29	HSC	ENSG00000177830	CHID1	0	3.787264343	4.353235791	3.900727722	4.25096097	4.497062936	4.464405653	4.513400144	4.077852798	1.731438775	0.889586067	1.149968196	0.975584639	1.163934118	1.226222619	0.750527293	1.069247138
UCB30	HSC	ENSG00000133321	RARRES3	0	1.701733766	2.455257298	2.659646885	2.692174041	2.23086641	2.49747972	2.002731983	3.074169949	1.724817322	0.344628444	0.671684311	0.59647321	0.325073483	0.970611073	1.512744164	0.445337516
UCB31	HSC	ENSG00000168062	BATF2	0	1.296780274	1.92195998	2.543446916	2.152367235	2.873458925	2.281269917	2.164864516	1.626897655	1.843515988	0.523894755	1.29748515	0.358665015	0.712089758	0.559278466	1.005482279	1.593995575
UCB32	HSC	ENSG00000175592	FOSL1	0	0.699246145	0.876351364	0.895196942	1.523314458	2.245850146	1.528507495	1.239554467	1.628753116	1.477099661	0.970691589	0.903321156	0.709520072	0.732958361	0.429326187	0.975923013	1.981106735
UCB33	HSC	ENSG00000166435	XRRA1	0	6.474877371	6.606708931	6.540623051	6.668176642	6.831901057	6.70678667	6.724451818	6.56201993	1.589904397	0.459869215	0.864019869	0.714770334	0.982689884	1.089003965	0.717006816	1.768908554
UCB34	HSC	ENSG00000149308	NPAT	0	5.496519834	5.594528778	5.55080525	5.737479054	5.612370129	5.568978534	5.859345794	5.628130314	1.040836	0.416535717	0.613630057	0.922181597	0.727914258	1.723089675	0.135277694	0.305641416
UCB35	HSC	ENSG00000137714	FDX1	0	4.426856523	4.84541998	4.783311391	4.93372061	4.887870575	4.581797935	4.629950667	4.801766642	1.692393356	0.735521641	0.508917779	1.067519432	0.851654017	0.539606681	0.47843261	0.798915871
UCB36	HSC	ENSG00000198851	CD3E	0	1.5639947	2.581453849	2.020877445	2.551381689	2.495403081	2.74091581	2.686156757	3.001797002	1.989001611	0.583428118	0.904023131	0.599098105	0.769966897	0.636695854	1.321143481	0.452748519
UCB37	HSC	ENSG00000172425	TTC36	0	0.327552365	0.972898333	0.960418512	0.875810152	0.746576543	1.724772306	0.779435945	1.006667143	1.637246086	0.300583296	0.382804925	0.51384704	2.246196383	0.446334019	0.330264854	0.526215612
UCB38	HSC	ENSG00000111319	SCNN1A	0	3.093863104	4.109485937	3.336472099	3.657107337	3.414513964	4.131442016	3.869060615	3.722700923	1.642141226	1.321909302	0.939030436	0.750396648	1.416928792	0.661375649	0.435208964	0.775637382
UCB39	HSC	ENSG00000139193	CD27	0	1.044668904	1.921461756	1.317621574	1.433940842	1.403183165	2.333938066	1.765171784	1.775064148	1.454341633	0.759862341	0.748807106	0.718973324	1.833264895	0.400106601	0.486122966	0.535391294
UCB40	HSC	ENSG00000139537	CCDC65	0	3.246739146	3.245833724	4.129491029	4.06969978	4.084837017	4.082409312	4.185934156	3.866836785	2.002661005	1.851317386	1.031851582	0.847735565	0.904972069	1.179134603	0.228003131	0.752493753
UCB41	HSC	ENSG00000170439	METTL7B	0	0.745308356	0.868163082	1.147122663	0.87614712	0.7509134	1.801452882	0.925569072	1.00556629	0.785192044	0.412513131	0.492237327	0.500837389	2.132449694	0.275364765	0.339277781	0.627150745
UCB42	HSC	ENSG00000170890	PLA2G1B	0	1.340727649	1.51593467	1.511894313	1.543461521	2.397981718	2.432754265	1.438921404	1.671398819	0.906737251	0.506962656	0.485355646	0.616800624	1.879596907	0.641162361	0.439299936	1.462972848
UCB43	HSC	ENSG00000130787	HIP1R	0	2.786277202	3.377300373	3.406494858	3.266855487	3.819421847	3.720566246	3.718715515	3.513118334	1.762528727	0.747242656	0.581071813	1.101812089	0.994312265	0.95053436	0.480364035	1.042932948
UCB44	HSC	ENSG00000123178	SPRYD7	0	2.978511588	3.945949744	3.855074826	3.991939737	3.696094354	3.776139308	4.221678362	4.00815953	2.571325796	0.6018023	0.515973492	0.576451156	0.140534707	1.364791543	0.774130567	0.489483376
UCB45	HSC	ENSG00000136153	LMO7	0	7.634069139	7.674142975	7.629903061	7.624412494	7.820756083	7.643166271	7.690254238	7.73551745	0.713499269	0.337137859	0.628003067	0.674469855	0.559337506	0.273106489	0.937301927	1.830246221
UCB46	HSC	ENSG00000126217	MCF2L	0	6.482226032	6.667760139	6.842095585	6.874173045	6.97232844	6.849079203	6.833003641	6.740685134	2.580417548	0.994693144	0.97748297	1.139381329	1.000938907	0.758505159	0.915120785	1.574795732
UCB47	HSC	ENSG00000150527	CTAGE5	0	6.454251011	6.577935034	6.649899816	6.497871355	6.823049269	6.569775228	6.60541629	6.544418528	1.165479136	0.395001903	0.688143663	0.871554501	0.176806656	0.473323085	0.317471005	1.877186546
UCB48	HSC	ENSG00000197930	ERO1L	0	5.248773541	5.584300561	5.470921048	5.520112007	5.420435509	5.552725252	5.581455101	5.322656429	1.630302306	0.907549224	0.259184493	0.959343919	0.772983572	0.963514295	0.989287619	0.787017132
UCB49	HSC	ENSG00000100652	SLC10A1	0	3.510912503	3.634739665	4.315155114	4.201264427	4.200448625	4.072115815	3.720002992	4.251518906	1.761174239	1.227939211	1.221678139	0.746076561	0.434624015	1.088072137	1.039664443	0.865967566
UCB50	HSC	ENSG00000198732	SMOC1	0	6.938649461	7.182286163	7.073226895	7.108246558	7.117713726	7.213419794	7.050234597	7.088489447	1.757406239	0.960041372	0.43851789	0.74432668	1.403061432	0.535128446	0.546173699	0.262381123
UCB51	HSC	ENSG00000182732	RGS6	0	8.768721752	8.901441568	8.907452139	8.924234222	8.974968946	8.94868443	8.861397112	8.940613955	2.311644573	0.398922074	0.524602632	0.563426187	0.96782205	0.66531809	0.792220719	1.142696859
UCB52	HSC	ENSG00000205683	DPF3	0	7.553659987	7.587026673	7.825249868	7.799330254	7.617488054	7.728455862	7.860504835	7.667845829	1.663535938	1.194215578	1.302821486	0.975752972	0.522740384	1.671938284	0.563172541	0.869671978
UCB53	HSC	ENSG00000165861	ZFYVE1	0	5.191682679	5.394265982	5.724466029	5.434842832	5.239635714	5.500782502	5.46969272	5.507154449	1.56615547	0.695309711	1.667724262	0.489943796	0.452371038	0.281013172	0.538311195	1.038088989
UCB54	HSC	ENSG00000176438	SYNE3	0	5.104519149	5.301346401	5.341124259	5.496222668	5.596785076	5.300382158	5.292784984	5.633451209	1.777701876	0.559074122	0.475572252	0.795471061	0.741699101	0.592821136	1.712871427	1.249141427
UCB55	HSC	ENSG00000090060	PAPOLA	0	5.450882259	5.667264697	5.625314524	5.752956001	5.740724938	5.777927576	5.856204981	5.632495212	1.769237699	0.493873702	0.499203464	0.679054453	0.82287387	1.391296253	0.407097054	0.431889781
UCB56	HSC	ENSG00000069667	RORA	0	9.044116264	9.150155031	9.198977047	9.159814285	9.160424816	9.140236655	9.254331384	9.150834218	1.942334151	0.598382464	0.89557397	0.55474104	0.368464838	1.74940996	0.414711496	0.390666716
UCB57	HSC	ENSG00000166233	ARIH1	0	6.348175958	6.592000907	6.529336932	6.63584307	6.464183148	6.527453067	6.745253153	6.492283554	1.698607327	0.593326907	0.46565823	0.79788751	0.357968715	1.766854052	0.433484041	0.748854534
UCB58	HSC	ENSG00000183324	REC114	0	6.397721679	6.573560304	6.602297959	6.51904055	6.610324402	6.764795131	6.619741159	6.520844189	1.888620562	0.3401108	0.403644711	0.507424104	2.182158161	0.542024756	0.742197843	0.395744648
UCB59	HSC	ENSG00000159289	GOLGA6A	0	0.776091273	1.301813947	1.777603078	1.403513346	1.929513089	1.063855124	1.686945852	1.655953414	1.625917848	0.525702449	1.005400451	0.497559689	0.943396418	0.718897692	0.639345754	1.197925955
UCB60	HSC	ENSG00000140374	ETFA	0	5.913207115	6.064645739	5.98920362	6.161250113	6.130297972	6.01037321	6.286851058	6.213400703	1.46591732	0.583724079	0.816525314	0.772437719	0.874878669	1.615953627	1.023467589	0.621863458
UCB61	HSC	ENSG00000140395	WDR61	0	3.450292041	3.894750764	4.449867415	3.926252867	4.230746982	4.133989674	4.132970215	3.696411093	1.94364612	0.337259031	1.66270951	0.355286921	0.813782277	0.655504142	1.236400497	0.950977527
UCB62	HSC	ENSG00000136378	ADAMTS7	0	4.38138885	4.564717435	4.569998837	4.676719699	4.788304159	4.948844396	4.871596113	4.427662305	1.302742	0.636878585	0.743613083	1.142507337	1.60187753	1.151360348	1.21200072	0.77415118
UCB63	HSC	ENSG00000103942	HOMER2	0	6.510894416	6.59972044	6.484073102	6.61065014	6.656136128	6.547591822	6.787010703	6.510068094	0.923006094	0.535574406	0.898936727	0.77274668	0.669750576	1.94801699	0.741881335	0.728096473
UCB64	HSC	ENSG00000007520	TSR3	0	0.142913371	0.861971769	0.748287835	0.663434272	0.223242691	0.3893125	0.208368504	0.490140481	1.256130646	1.635541253	1.192638244	0.794640607	0.734761778	1.00050385	0.205156205	1.020964416
UCB65	HSC	ENSG00000187535	IFT140	0	5.273684226	5.63185558	5.314905425	5.666893103	5.665014611	5.477864999	5.621392324	5.761405624	1.837222154	1.028854969	1.447979921	1.238975138	0.782512703	0.700949447	1.464345227	0.931562302
UCB66	HSC	ENSG00000167981	ZNF597	0	1.993783402	2.465647463	3.028104798	2.429589796	3.316157597	2.466923594	2.444027929	2.260571025	1.320584487	0.224952429	1.266436576	0.434489789	0.213180413	0.198832692	0.672955482	1.679784429
UCB67	HSC	ENSG00000213658	LAT	0	0.502255994	1.748733171	1.262111064	1.242243024	1.506243542	0.852045198	1.167137828	1.534594788	1.767573941	1.332660365	0.611102119	0.395850608	0.973950887	0.329684581	0.973204022	0.801762277
UCB68	HSC	ENSG00000178226	PRSS36	0	1.038210268	2.792759895	1.99783781	2.37064245	1.832836881	2.110187275	2.317806634	1.905328634	2.375964283	1.751681954	0.345899486	0.88949697	0.357556167	0.70514505	0.367985318	0.590352946
UCB69	HSC	ENSG00000172831	CES2	0	1.220938429	2.253125742	2.587390385	1.861841697	2.465187338	2.305821368	2.113668916	2.384816597	2.187016437	0.567838042	1.132861384	0.808026372	0.590854746	0.175549444	0.705673751	0.763694652
UCB70	HSC	ENSG00000159714	ZDHHC1	0	2.990888124	3.685919149	3.313415743	3.652957858	3.212617944	3.411484891	3.58432932	3.799822578	1.637703797	0.977417179	0.61962087	0.782824962	0.462233772	0.795723312	1.211953618	0.946853975
UCB71	HSC	ENSG00000213380	COG8	0	2.758266599	3.321224868	3.637208182	3.664440017	3.084192523	3.058186339	3.635069526	3.538271751	1.841214725	0.315058277	0.927154703	0.960818092	1.012555067	0.945656107	0.684958623	0.940943522
UCB72	HSC	ENSG00000090863	GLG1	0	6.689687223	6.833382374	6.766894521	6.801823922	7.043224254	6.773970718	6.749150529	6.716860017	0.979033801	0.579424962	0.385379406	0.685500415	0.253220192	0.36158566	0.726812776	2.202666131
UCB73	HSC	ENSG00000140943	MBTPS1	0	4.856755227	5.469631253	5.38646181	5.266613868	5.306629048	5.085482907	5.231522562	5.378884568	1.889575481	1.14792755	0.715254932	0.465787076	0.766652439	0.255535554	0.702584597	0.576919255
UCB74	HSC	ENSG00000154118	JPH3	0	5.172547146	5.545730968	5.413290188	5.601797874	5.444919134	5.753138844	5.463521949	5.773728217	2.435654162	0.728279244	0.762319661	0.838442347	1.712056698	0.591084454	1.807848183	0.628598808
UCB75	HSC	ENSG00000158805	ZNF276	0	1.750565749	2.922758441	2.183867378	3.160635554	3.177090778	2.680432242	3.058407307	2.7398137	2.239185185	1.084701408	1.216105032	1.326872391	0.641898652	1.112958672	0.342622415	1.234806664
UCB76	HSC	ENSG00000181031	RPH3AL	0	6.206103869	6.359714655	6.329648402	6.315052573	6.342611553	6.577205582	6.346893117	6.399735461	1.513450631	0.729563755	0.769230977	1.46112644	1.953025132	0.557602502	0.652972202	0.647677597
UCB77	HSC	ENSG00000159842	ABR	0	6.272972421	6.337125874	6.550694865	6.887909727	6.569772224	6.669144657	6.4670611	6.673242677	2.252662234	1.755591704	0.968068384	2.319511636	1.197240576	0.91443866	1.010163377	0.981985674
UCB78	HSC	ENSG00000132376	INPP5K	0	2.228095753	3.676774635	3.422017061	3.75509055	3.340417447	3.211564025	3.04158634	3.419604614	2.78671341	1.438719262	0.804543933	1.256495606	0.441660322	0.712651373	0.568251854	0.51418379
UCB79	HSC	ENSG00000213859	KCTD11	0	0.16070284	0.635626561	1.461396181	0.929234073	0.427581433	0.793922764	0.83177538	0.577833305	1.693291015	0.450042892	2.18047074	0.710731534	0.37532473	0.610583658	0.547279549	0.807832
UCB80	HSC	ENSG00000126561	STAT5A	0	2.609099039	3.209049893	3.642944985	3.299559092	3.711225478	3.095323402	2.925133871	3.262791017	1.632900759	0.973532646	1.266988161	0.7584983	0.499100459	0.869148251	0.29067009	1.222960832
UCB81	HSC	ENSG00000141560	FN3KRP	0	1.181636944	2.110977113	2.321786822	2.399680401	2.581465445	2.20266707	2.166717965	2.706999369	2.294926799	0.456016869	0.708451533	0.726800419	0.395839795	0.353953315	1.393320208	0.974850708
UCB82	HSC	ENSG00000176533	GNG7	0	6.01779838	6.240335509	6.23762111	6.347234628	6.26582226	6.42093118	6.205817359	6.418111126	2.028886569	0.867298387	0.804547812	1.284405211	1.340051615	0.633431163	1.253027922	0.829891596
UCB83	HSC	ENSG00000141873	SLC39A3	0	0.647492514	0.763080391	0.714233138	1.969762975	1.637752432	0.992938829	1.613006191	1.593780025	1.402631421	1.055976926	1.145638469	1.605102074	0.680102417	1.032496626	0.936799892	0.973132842
UCB84	HSC	ENSG00000167670	CHAF1A	0	3.996718083	4.34249376	4.239622787	4.634032927	4.568139257	4.458744772	4.05966702	4.574780029	1.819264616	0.489018867	0.786117076	1.231666573	0.668637128	1.430721965	1.141322149	0.982981731
UCB85	HSC	ENSG00000167815	PRDX2	0	0.42784691	0.944601603	1.359352011	1.036609382	1.294557818	1.554568465	1.549236513	0.934458951	1.824528357	0.774394182	0.863518965	0.900243948	1.271916501	1.208751066	0.639116363	0.584944402
UCB86	HSC	ENSG00000179218	CALR	0	0.361564303	1.530468326	0.695334341	1.031648739	1.343617669	0.580740554	1.051009337	1.016786758	1.521472324	1.80518034	0.628091495	0.768819504	1.026600465	0.561715913	0.337300395	0.98934717
UCB87	HSC	ENSG00000105664	COMP	0	0.930639605	1.673575282	1.722752605	1.569640556	1.542623118	2.138136619	1.441498409	0.984760173	1.367492229	0.605281466	0.735281815	0.595008135	1.671592515	0.279819736	1.199757315	0.411110067
UCB88	HSC	ENSG00000254901	MEF2BNB	0	1.672658648	2.674904147	2.536855557	3.335524378	3.01486119	2.112795898	2.042336707	2.242996924	1.809853107	1.151231074	0.742206384	1.840851729	0.866728139	1.102016391	0.500275207	1.385106802
UCB89	HSC	ENSG00000126243	LRFN3	0	1.217494006	1.906523772	2.286413058	1.966693387	1.622125988	2.168760257	2.798256734	1.952291836	1.793796896	0.412704735	0.774042566	0.45543976	0.538784626	1.908763677	0.222830447	0.777627469
UCB90	HSC	ENSG00000105738	SIPA1L3	0	7.034106366	7.144552674	7.1329003	7.292405693	7.281849695	7.287868976	7.076985044	7.320441885	1.81203654	1.057343837	1.018275741	1.436612438	1.234874904	1.236146208	1.324642865	1.068234698
UCB91	HSC	ENSG00000130758	MAP3K10	0	2.701349266	3.628880099	3.47520945	3.373588918	3.59114594	3.846643822	3.510967194	3.731396916	2.180006536	0.559251399	0.234216851	0.493440775	1.159425285	0.244855149	0.839256542	0.418733284
UCB92	HSC	ENSG00000086544	ITPKC	0	2.923594773	3.508985631	3.83074181	3.679376797	3.754125974	3.825459943	3.200208648	3.529050454	1.940451342	0.641149609	1.044862684	0.60709249	1.088388716	1.035194397	0.414250674	0.685002154
UCB93	HSC	ENSG00000007129	CEACAM21	0	3.817817416	4.450625744	4.206922701	4.361015694	4.053600304	4.424587746	4.579278081	4.00439339	1.615191673	0.908939249	0.552602712	0.633059507	0.809275105	1.317235928	0.903631863	0.72194842
UCB94	HSC	ENSG00000076928	ARHGEF1	0	3.131311046	3.806463408	3.722834215	4.286770328	3.703055638	3.869073086	3.652024306	4.286487232	2.085380897	0.544468457	0.691883197	1.276523139	0.484339659	0.542374418	1.420321921	0.568231698
UCB95	HSC	ENSG00000160014	CALM3	0	0.834952194	1.935749957	2.147444622	1.366588934	2.145241614	1.44955484	1.739581301	1.381431375	1.794448207	0.956075909	1.27665469	0.666793588	0.461146604	0.443978563	0.697854509	1.109750534
UCB96	HSC	ENSG00000105373	GLTSCR2	0	1.151516573	1.904394508	1.24977356	1.920362607	1.775313721	1.890836359	2.434973205	2.333670021	1.649402709	0.757733202	1.316126609	1.024353759	0.641978102	1.492513218	1.239850624	0.709688608
UCB97	HSC	ENSG00000104805	NUCB1	0	2.362373731	3.352745893	2.83001926	2.941972895	3.426826193	3.547953993	2.486956789	3.150774075	1.699751282	1.111386656	0.950215084	1.068145901	1.575782355	1.336915271	0.491394893	1.110278653
UCB98	HSC	ENSG00000169016	E2F6	0	3.683599231	4.261884492	3.85455199	4.111596942	3.932069288	4.068568047	4.448976288	4.179897927	1.629759044	0.885199972	0.984839319	0.576259341	0.400499278	1.530077497	1.013367848	0.8296772
UCB99	HSC	ENSG00000198399	ITSN2	0	6.700623614	6.959309058	6.941495279	6.938492213	6.921080346	6.871510153	7.035388236	6.876747958	2.17176512	0.697059128	0.784345731	0.713868725	0.580018188	1.483404008	0.295776142	0.307983518
UCB100	HSC	ENSG00000115137	DNAJC27	0	3.885809626	4.481100482	4.575383499	4.183358872	4.23437887	4.495169154	4.645585513	4.243499763	1.741617809	0.654800808	1.009545721	0.821872841	0.790073043	1.216590838	0.378255621	0.399798572
UCB101	HSC	ENSG00000115484	CCT4	0	2.989411713	3.378668901	3.780137466	3.469097334	4.24868193	3.726358093	3.876017735	3.544685598	1.797973505	0.606704787	0.687457234	0.624810147	0.523088571	0.914454619	0.256535749	1.748988253
UCB102	HSC	ENSG00000159239	C2orf81	0	1.089887957	1.888705609	1.722920707	1.749427595	2.335918071	1.411605345	2.359191694	1.928566156	1.650253096	0.548098565	0.40710695	0.482828389	0.941118521	1.456279272	0.629897315	1.214254376
UCB103	HSC	ENSG00000204822	MRPL53	0	0	0.479806128	0.780202109	0.54545156	1.095355444	0.729596927	0.43374631	0.267124255	1.693079913	0.194343845	0.893084989	0.575883718	0.827449714	0.258776402	0.767023806	1.593717072
UCB104	HSC	ENSG00000072135	PTPN18	0	3.256114885	3.641674118	3.919364994	3.548049922	3.707738063	3.845817509	4.010105726	3.831095878	1.771402533	0.318511303	0.803996045	0.666776905	0.597995325	1.158712434	0.516363952	0.253861842
UCB105	HSC	ENSG00000071909	MYO3B	0	8.571322628	8.602823797	8.678528464	8.710039287	8.719093748	8.59253434	8.573217653	8.611482722	1.534244494	0.554643643	0.906893943	1.665914321	0.819760004	1.09351018	1.090848025	1.503005039
UCB106	HSC	ENSG00000213901	SLC23A3	0	1.320596151	2.339063928	2.770834071	1.944675613	2.03976221	2.278546367	2.552205727	2.240880737	2.129347477	0.726724814	1.617621611	1.135048243	0.598179733	1.012543429	0.29801166	0.721706982
UCB107	HSC	ENSG00000168918	INPP5D	0	6.09158347	6.064390794	6.147870875	6.332823133	6.422271749	6.125502046	6.512794989	6.334968807	1.257011192	1.211407938	0.757525736	0.973618796	0.975052936	1.933151306	0.733597079	1.153350096
UCB108	HSC	ENSG00000176720	BOK	0	1.300691005	2.30733254	2.343283317	2.811877126	3.017164178	2.044348803	2.184698962	1.832703453	1.970995991	0.692704243	0.83847418	1.26916963	0.548177788	0.369305312	0.74727913	1.542917562
UCB109	HSC	ENSG00000088826	SMOX	0	4.736271387	5.177564957	5.258069171	5.060077685	5.330870724	5.026411488	5.300006563	4.968855755	1.721584619	0.696336501	0.9622539	0.725283379	0.400492535	1.032084058	0.846331415	1.023616916
UCB110	HSC	ENSG00000198185	ZNF334	0	2.455367232	2.629481458	2.498898258	3.30522299	3.473258783	2.83929183	3.362936519	3.58186436	1.47698435	0.906207498	1.253577163	0.784862252	0.474055281	1.056626907	1.646639154	1.168735621
UCB111	HSC	ENSG00000054793	ATP9A	0	6.505123766	6.629946987	6.501477486	6.846379865	6.870213229	6.606980286	6.852029014	6.766221914	1.678873199	0.780329512	1.526201513	1.282594099	0.845078199	1.434335523	0.742883208	1.354417446
UCB112	HSC	ENSG00000125534	PPDPF	0	0	0	0	0	0	0.109333102	0.307428573	0.071149342	0.616877622	0.527637943	0.546859235	0.459142123	0.691172889	2.083858833	0.797106237	0.416919926
